job_mapped,skills,work_type,keyword,company
Front End Developer,"['angular', 'java', 'next.js', 'scrum', 'vue.js']",Remote,Front End Developer,Qindel Group
Front End Developer,"['angular', 'bootstrap', 'cross-browser compatibility', 'git', 'javascript', 'react.js', 'tailwind css', 'vue.js']",Hybrid,Front End Developer,Gravitix Tech
Front End Developer,"['angular', 'git', 'javascript', 'restful apis', 'react.js']",Remote,Front End Developer,Comeet App Middleware Test Company
Front End Developer,"['angular', 'git', 'java', 'kotlin', 'restful apis', 'swift']",Remote,Front End Developer,PayTech Group
Front End Developer,"['bulma', 'drupal', 'figma', 'github', 'github actions', 'graphql', 'jenkins', 'jest', 'next.js', 'redux', 'tailwind css', 'typescript', 'zustand']",Remote,Front End Developer,Enroute
Front End Developer,"['git', 'graphql', 'javascript']",On-site,Front End Developer,ISG International Service Group
Front End Developer,"['angular', 'css3', 'cross-browser compatibility', 'cypress', 'design systems', 'figma', 'git', 'github', 'graphql', 'html5', 'javascript', 'jest', 'jira', 'next.js', 'node.js', 'playwright', 'sketch', 'storybook', 'tailwind css', 'typescript', 'vite', 'websockets', 'webpack']",Remote,Front End Developer,SkillersZone LLC
Front End Developer,"['bootstrap', 'git', 'redis', 'typescript']",Remote,Front End Developer,Factor IT
Front End Developer,"['angular', 'babel', 'css3', 'flutter', 'git', 'html5', 'ionic', 'jest', 'webpack']",On-site,Front End Developer,GamblingCareers.com
Front End Developer,"['git', 'java', 'javascript', 'machine learning', 'node.js', 'python', 'speech recognition', 'typescript']",Remote,Front End Developer,Arnex Solutions LLC
Front End Developer,"['confluence', 'javascript', 'jira', 'load balancing', 'node.js', 'three.js', 'webgl', 'websockets', 'grpc']",On-site,Front End Developer,"Metis Technology Solutions, Inc."
Front End Developer,"['angular', 'docker', 'git', 'graphql', 'javascript', 'playwright', 'tailwind css', 'typescript', 'vite']",Remote,Front End Developer,"Intertech, Inc."
Front End Developer,"['a/b testing', 'kanban', 'scrum']",Hybrid,Front End Developer,Nestlé
Front End Developer,"['css3', 'confluence', 'design systems', 'figma', 'html5', 'javascript', 'jira', 'react.js', 'sql', 'usability testing', 'user research']",Hybrid,Front End Developer,"Astra-North Infoteck Inc.  ~ Conquering today’s challenges, achieving tomorrow’s vision!"
Front End Developer,"['confluence', 'figma', 'git', 'github', 'javascript', 'jira', 'storybook']",Hybrid,Front End Developer,Angel Solutions
Front End Developer,"['bootstrap', 'git', 'typescript']",Remote,Front End Developer,Factor IT
Front End Developer,"['graphql', 'typescript']",Hybrid,Front End Developer,Hays
Front End Developer,"['angular', 'babel', 'css3', 'flutter', 'git', 'html5', 'ionic', 'webpack']",Hybrid,Front End Developer,Aristocrat Interactive
Front End Developer,"['angular', 'css3', 'cypress', 'design systems', 'html5', 'javascript', 'jest', 'redux', 'typescript', 'vuex']",Hybrid,Front End Developer,Aambience Services
Front End Developer,"['angular', 'javascript', 'react.js', 'vue.js']",On-site,Front End Developer,Futurum Technology Ltd.
Front End Developer,"['javascript', 'next.js', 'scrum', 'typescript']",On-site,Front End Developer,Accenture Southeast Asia
Front End Developer,['javascript'],Remote,Front End Developer,Core Code io
Front End Developer,"['figma', 'javascript', 'woocommerce']",On-site,Front End Developer,SaffireTech
Front End Developer,"['a/b testing', 'css3', 'git', 'github', 'html5', 'javascript', 'less', 'microsoft azure', 'node.js', 'php', 'python', 'sql', 'visual design', 'webpack']",Hybrid,Front End Developer,The Word & Brown Companies
Front End Developer,"['css3', 'git', 'html5', 'javascript', 'jira', 'notion', 'tailwind css', 'typescript', 'vite']",Hybrid,Front End Developer,Charles Tyrwhitt
Front End Developer,"['css3', 'figma', 'git', 'html5', 'javascript', 'php', 'usability testing']",Hybrid,Front End Developer,Techo-Bloc
Front End Developer,['typescript'],On-site,Front End Developer,Client Server
Front End Developer,"['angular', 'bootstrap', 'css3', 'git', 'html5', 'jasmine', 'javascript', 'restful apis', 'redux', 'rxjs', 'typescript', 'webpack']",On-site,Front End Developer,Müller's Solutions
Front End Developer,"['angular', 'babel', 'css3', 'flutter', 'git', 'html5', 'ionic', 'jest', 'webpack']",On-site,Front End Developer,Aristocrat Interactive
Front End Developer,"['css3', 'cypress', 'github', 'gitlab', 'html5', 'javascript', 'jira', 'restful apis', 'react.js', 'redux', 'selenium', 'typescript']",Hybrid,Front End Developer,Aceve
Front End Developer,"['next.js', 'objective-c', 'react native', 'swift']",Remote,Front End Developer,Meld
Front End Developer,"['design systems', 'figma', 'git', 'github', 'graphql', 'storybook', 'tailwind css', 'typescript', 'vite', 'zustand']",Remote,Front End Developer,Create Music Group
Front End Developer,"['angular', 'less']",On-site,Front End Developer,SnappCar | B Corp
Front End Developer,"['adobe xd', 'agile methodology', 'css3', 'cross-browser compatibility', 'dom manipulation', 'figma', 'html5', 'javascript', 'php', 'restful apis', 'vue.js', 'woocommerce']",Hybrid,Front End Developer,SmartDev
Front End Developer,"['angular', 'ant design', 'babel', 'bootstrap', 'css3', 'confluence', 'docker', 'git', 'github', 'gitlab', 'html5', 'javascript', 'jira', 'kubernetes', 'redux', 'servicenow', 'vite', 'webpack']",Hybrid,Front End Developer,Tata Consultancy Services
Front End Developer,"['angular', 'css3', 'cross-browser compatibility', 'git', 'html5', 'java', 'javascript', 'less', 'responsive web design', 'scrum']",On-site,Front End Developer,Advance Delivery Consulting
Front End Developer,"['angular', 'babel', 'git', 'graphql', 'ionic', 'javascript', 'react.js', 'redux']",Hybrid,Front End Developer,Axis
Front End Developer,"['babel', 'bootstrap', 'css3', 'cross-browser compatibility', 'cypress', 'docker', 'git', 'github', 'html5', 'javascript', 'jenkins', 'jest', 'less', 'mocha', 'node.js', 'restful apis', 'react.js', 'redux', 'tailwind css', 'vue.js', 'vuex', 'webpack']",On-site,Front End Developer,Hungry Workhorse
Front End Developer,"['figma', 'php']",Remote,Front End Developer,Kanz
Front End Developer,"['angular', 'github', 'kubernetes', 'restful apis']",Remote,Front End Developer,Amartus
Front End Developer,"['babel', 'figma', 'git', 'github', 'gitlab', 'javascript', 'jest', 'react.js', 'redux', 'storybook', 'typescript', 'vite', 'webpack', 'zustand']",Hybrid,Front End Developer,MyUnisoft
Front End Developer,"['cross-browser compatibility', 'design systems', 'figma', 'javascript', 'react native', 'storybook']",Hybrid,Front End Developer,FLiiP
Front End Developer,"['css3', 'cypress', 'design systems', 'figma', 'git', 'html5', 'javascript', 'jest', 'next.js', 'restful apis', 'redux', 'typescript', 'web accessibility (wcag)']",Hybrid,Front End Developer,Alphacomm - the revenue boosting platform
Front End Developer,"['docker', 'git', 'javascript', 'kubernetes']",Hybrid,Front End Developer,"Grupo IskayPet (Tiendanimal, Kiwoko, Kivet, Clinicanimal)"
FullStack Developer,"['docker', 'github', 'next.js', 'node.js', 'postgresql', 'python', 'react.js', 'supabase', 'typescript']",Remote,FullStack Developer,BAUMLINK
FullStack Developer,"['chakra ui', 'docker', 'javascript', 'node.js', 'puppeteer', 'redis', 'sql', 'typescript']",Remote,FullStack Developer,thor consulting GmbH
FullStack Developer,"['angular', 'docker', 'generative ai', 'gitlab', 'grafana', 'java', 'jenkins', 'kubernetes', 'prometheus', 'restful apis', 'spring boot']",On-site,FullStack Developer,Capgemini
FullStack Developer,"['automated qa testing', 'bootstrap', 'c#', 'git', 'javascript', 'sql', 'scrum', 'typescript']",Hybrid,FullStack Developer,Vantage
FullStack Developer,"['angular', 'docker', 'java', 'kubernetes', 'node.js', 'python']",Remote,FullStack Developer,HTD Health
FullStack Developer,"['foundation', 'java', 'python']",Remote,FullStack Developer,Allata
FullStack Developer,['scrum'],On-site,FullStack Developer,FPT Corporation
FullStack Developer,"['angular', 'generative ai', 'node.js', 'python', 'restful apis', 'typescript']",Hybrid,FullStack Developer,Planck
FullStack Developer,"['bootstrap', 'docker', 'git', 'influxdb', 'javascript', 'laravel', 'mongodb', 'php', 'postgresql', 'python']",Hybrid,FullStack Developer,Hays
FullStack Developer,"['docker', 'github', 'github actions', 'machine learning', 'nestjs', 'next.js', 'postgresql', 'rabbitmq', 'redis', 'typescript']",Remote,FullStack Developer,LEOCODE - Your Tech Partner
FullStack Developer,"['cucumber', 'dynatrace', 'gitlab', 'gitlab ci/cd', 'node.js', 'postgresql', 'scrum', 'terraform', 'typescript']",Hybrid,FullStack Developer,ARHS Group
FullStack Developer,"['cross-browser compatibility', 'dom manipulation', 'javascript', 'php', 'sql', 'ssl/tls']",Hybrid,FullStack Developer,BearingPoint
FullStack Developer,"['fastapi', 'next.js', 'python']",Remote,FullStack Developer,Between Technology
FullStack Developer,"['mongodb', 'node.js', 'react.js']",Hybrid,FullStack Developer,PrimeIT España
FullStack Developer,"['generative ai', 'java', 'mongodb', 'mysql', 'node.js', 'postgresql', 'restful apis', 'sql', 'spring boot']",On-site,FullStack Developer,Capgemini
FullStack Developer,"['angular', 'cucumber', 'hibernate', 'jmeter', 'junit', 'java', 'javascript', 'mongodb', 'prometheus', 'sql', 'spring boot', 'spring cloud']",Remote,FullStack Developer,Profile Software Services
FullStack Developer,"['docker', 'elasticsearch', 'express.js', 'foundation', 'jenkins', 'kubernetes', 'microservices architecture', 'node.js', 'postgresql', 'rabbitmq', 'react.js', 'redis', 'redux', 'typescript']",Hybrid,FullStack Developer,Vexere.com - Vietnam’s #1 Transportation Booking Platform (Bus | Flight | Train | Bike Car Rental))
FullStack Developer,"['angular', 'docker', 'github', 'github actions', 'java', 'jenkins', 'kanban', 'kubernetes', 'mysql', 'postgresql', 'restful apis', 'scrum', 'spring boot']",Remote,FullStack Developer,SymBio.
FullStack Developer,"['hibernate', 'java', 'javascript', 'php', 'sql', 'scrum']",Hybrid,FullStack Developer,Watermelon Tecnologia & Participações
FullStack Developer,"['git', 'graphql', 'restful apis']",Remote,FullStack Developer,Crossing Hurdles
FullStack Developer,"['angular', 'java']",On-site,FullStack Developer,PT. Metrodata Electronics Tbk.
FullStack Developer,"['angular', 'cypress', 'generative ai', 'git', 'hibernate', 'java', 'javascript', 'kanban', 'sql', 'selenium', 'spring boot']",On-site,FullStack Developer,Capgemini
FullStack Developer,"['ansible', 'css3', 'git', 'html5', 'hibernate', 'java', 'javascript', 'jira', 'mongodb', 'python', 'restful apis', 'redis', 'sql', 'spring boot']",Hybrid,FullStack Developer,Verito Solutions
FullStack Developer,"['docker', 'mongodb', 'python', 'restful apis', 'typescript']",On-site,FullStack Developer,Sentrycs | Counter-Drone Solutions Adapting at the Speed of Threats
FullStack Developer,"['celery', 'fastapi', 'redis', 'redux', 'tailwind css', 'typescript']",Remote,FullStack Developer,Newcode.ai
FullStack Developer,"['generative ai', 'javascript', 'next.js', 'php', 'recommendation systems', 'typescript']",On-site,FullStack Developer,Zero to One Search | Recruitment Agency
FullStack Developer,"['angular', 'html5', 'java', 'primeng', 'soap', 'sql', 'sass/scss', 'spring boot']",Remote,FullStack Developer,ALTEN Spain
FullStack Developer,"['angular', 'java', 'python']",On-site,FullStack Developer,Cision Insights - PRIME Research Brazil
FullStack Developer,"['angular', 'css3', 'cryptography', 'cucumber', 'docker', 'github', 'html5', 'hibernate', 'junit', 'java', 'javascript', 'jenkins', 'kubernetes', 'mysql', 'postgresql', 'scrum', 'spring boot', 'vue.js']",Hybrid,FullStack Developer,Wipro
FullStack Developer,"['docker', 'git', 'javascript', 'kubernetes', 'mongodb', 'node.js', 'postgresql', 'sql', 'typescript']",On-site,FullStack Developer,PAYMATICO
FullStack Developer,"['angular', 'docker', 'git', 'gitlab', 'java', 'javascript', 'restful apis', 'solid principles', 'sql', 'spring boot']",On-site,FullStack Developer,Capgemini
FullStack Developer,"['design systems', 'node.js']",Hybrid,FullStack Developer,Restaff - House Of Norway
FullStack Developer,"['git', 'java', 'javascript', 'microservices architecture', 'react.js', 'sql', 'scrum', 'spring boot']",On-site,FullStack Developer,SIDRAM TECHNOLOGIES
FullStack Developer,"['javascript', 'node.js', 'postgresql', 'react native', 'redis', 'sql', 'typescript']",Remote,FullStack Developer,Smartness
FullStack Developer,"['cypress', 'graphql', 'jest', 'microservices architecture', 'microsoft azure', 'nestjs', 'typescript']",On-site,FullStack Developer,ALTEN
FullStack Developer,"['java', 'react.js']",On-site,FullStack Developer,Technomax
FullStack Developer,"['java', 'microservices architecture']",Remote,FullStack Developer,Veem
FullStack Developer,"['data modeling', 'docker', 'dynamodb', 'git', 'javascript', 'jest', 'pytest', 'python', 'restful apis', 'sql', 'serverless architecture', 'storybook', 'typescript']",Hybrid,FullStack Developer,Würth Cloud Services GmbH
FullStack Developer,"['docker', 'figma', 'git', 'kubernetes', 'postgresql', 'restful apis', 'react.js']",On-site,FullStack Developer,INDICO by Telkomsel
FullStack Developer,"['css3', 'github', 'graphql', 'html5', 'java', 'mongodb', 'postgresql', 'scrum', 'spring boot', 'typescript']",Remote,FullStack Developer,Between Technology
FullStack Developer,"['data modeling', 'docker', 'domain-driven design (ddd)', 'express.js', 'google cloud platform (gcp)', 'graphql', 'kubernetes', 'microservices architecture', 'next.js', 'node.js', 'postgresql', 'python', 'restful apis', 'rabbitmq', 'solid principles', 'typescript']",Remote,FullStack Developer,Avenue Code
FullStack Developer,"['angular', 'bootstrap', 'generative ai', 'gitlab', 'junit', 'java', 'javascript', 'restful apis', 'sonarqube', 'spring boot', 'typescript']",Hybrid,FullStack Developer,Capgemini
FullStack Developer,"['docker', 'elasticsearch', 'gitlab', 'helm', 'javascript', 'kubernetes', 'mariadb', 'php', 'rabbitmq', 'redis', 'solid principles', 'sonarqube', 'vue.js']",Hybrid,FullStack Developer,InStaff & Jobs GmbH
Web Developer,"['angular', 'bootstrap', 'javascript', 'vue.js']",Remote,Web Developer,Crossing Hurdles
Web Developer,"['css3', 'git', 'javascript', 'scrum']",Remote,Web Developer,Versapay
Web Developer,"['git', 'html5', 'java', 'javascript', 'laravel', 'php', 'symfony', 'typescript', 'vue.js']",Remote,Web Developer,Code Compass 🧭
Web Developer,"['angular', 'bootstrap', 'css3', 'codeigniter', 'foundation', 'html5', 'javascript', 'less', 'mysql', 'nginx', 'node.js', 'php', 'soap']",Remote,Web Developer,Steady Vision
Web Developer,['javascript'],Remote,Web Developer,Apply4U | Apply4U | Human-Assisted AI Job & Recruitment Platform
Web Developer,"['a/b testing', 'javascript']",Remote,Web Developer,Twine
FullStack Developer,"['javascript', 'mysql', 'php']",Remote,Web Developer,Netrolynx AI
Web Developer,['javascript'],Remote,Web Developer,Crossing Hurdles
Web Developer,"['java', 'javascript', 'large language models (llms)', 'python', 'sql', 'supabase']",Remote,Web Developer,Quik Hire Staffing
Web Developer,"['foundation', 'git', 'javascript', 'node.js', 'php', 'python']",On-site,Web Developer,Kanz
Web Developer,"['a/b testing', 'git', 'javascript', 'php', 'sql', 'vue.js']",Remote,Web Developer,AGS Youth Soccer Club
Front End Developer,['bootstrap'],On-site,Web Developer,InCreativeWeb | Creative Thinking
Web Developer,"['javascript', 'liquid (shopify)', 'php', 'woocommerce']",Remote,Web Developer,Vismarcorp | Strategic Business Consulting
Web Developer,"['git', 'javascript', 'netlify', 'next.js', 'tailwind css']",Remote,Web Developer,SEO-Dons
Web Developer,"['cross-browser compatibility', 'javascript', 'restful apis', 'react.js']",Remote,Web Developer,Crossing Hurdles
Web Developer,"['git', 'laravel', 'mongodb', 'mysql', 'php', 'sql']",On-site,Web Developer,FIGAME.COM Travel Organisation LTD
Web Developer,['javascript'],Remote,Web Developer,Twine
Front End Developer,"['angular', 'cross-browser compatibility', 'git', 'graphql', 'javascript', 'less', 'restful apis', 'redux', 'vite', 'vuex', 'webpack', 'zustand']",Remote,Web Developer,Air Apps
Web Developer,"['blender', 'fiber', 'javascript', 'next.js', 'three.js', 'typescript', 'webgl']",On-site,Web Developer,Adecco
Web Developer,"['foundation', 'php']",Hybrid,Web Developer,Zealous Agency
Front End Developer,"['fortinet', 'javascript', 'python', 'typescript']",Remote,Web Developer,Fortinet
Front End Developer,"['angular', 'bootstrap', 'css3', 'confluence', 'cypress', 'figma', 'gitlab', 'html5', 'jasmine', 'jest', 'jira', 'less', 'playwright', 'restful apis', 'scrum', 'selenium', 'sonarqube', 'typescript']",Remote,Web Developer,Aretum
Web Developer,['wordpress development'],Remote,Web Developer,Gururo
Web Developer,"['javascript', 'mysql', 'php']",Remote,Web Developer,Twine
Web Developer,"['javascript', 'woocommerce']",Remote,Web Developer,SEO Sherpa
Web Developer,"['azure devops', 'c#', 'javascript', 'microsoft sql server', 'sql']",On-site,Web Developer,Abell Pest Control
Web Developer,"['angular', 'django', 'docker', 'javascript', 'laravel', 'node.js', 'php', 'python', 'sql', 'symfony']",On-site,Web Developer,Hardin Design and Development
Web Developer,"['figma', 'javascript', 'wireframing']",Hybrid,Web Developer,The Regenda Group
Web Developer,"['adobe xd', 'css3', 'figma', 'git', 'html5', 'javascript', 'mysql', 'php', 'woocommerce', 'wordpress development']",On-site,Web Developer,Argon Agency
Web Developer,"['javascript', 'microsoft sql server', 'next.js', 'php', 'postgresql', 'restful apis', 'sql']",Hybrid,Web Developer,Mirai Talent
Web Developer,"['git', 'java', 'javascript', 'jira', 'mysql', 'php', 'postgresql', 'python', 'typescript']",On-site,Web Developer,Valuetainment
Web Developer,"['angular', 'java', 'php', 'sql']",On-site,Web Developer,Easi
Web Developer,"['bootstrap', 'mysql', 'php']",On-site,Web Developer,Finhence
Web Developer,"['cloudflare', 'django', 'flask', 'javascript', 'next.js', 'python']",Remote,Web Developer,MeanPug Digital
Web Developer,"['git', 'html5', 'java', 'javascript', 'laravel', 'php', 'symfony', 'typescript', 'vue.js']",Remote,Web Developer,Code Compass 🧭
Front End Developer,"['angular', 'bootstrap', 'css3', 'git', 'html5', 'javascript', 'less']",Remote,Web Developer,Clarity Ventures
Web Developer,"['javascript', 'php']",On-site,Web Developer,PT Astra International Tbk
Android Developer,"['jetpack compose', 'retrofit']",On-site,Android Developer,SoulStream AI
Android Developer,"['jetpack compose', 'kotlin']",Remote,Android Developer,Corecom Consulting
Android Developer,"['jetpack compose', 'kotlin', 'solid principles', 'scrum']",Hybrid,Android Developer,Ubique Systems
Android Developer,"['kotlin', 'scrum', 'swift', 'typescript']",Remote,Android Developer,Next Engineering
Android Developer,"['azure devops', 'git', 'gitlab', 'java', 'jenkins', 'kotlin']",On-site,Android Developer,CSI GLOBAL LTD
Android Developer,"['jetpack compose', 'kotlin', 'tensorflow']",Remote,Android Developer,develop
Android Developer,"['android sdk', 'java', 'kotlin', 'room database', 'sqlite']",Hybrid,Android Developer,SIRITECH SOLUTIONS CORP
Android Developer,"['java', 'javascript', 'large language models (llms)', 'python', 'sql', 'supabase']",Remote,Android Developer,Quik Hire Staffing
Android Developer,"['jetpack compose', 'kotlin']",Remote,Android Developer,Next Engineering
Android Developer,"['confluence', 'git', 'jira', 'kotlin', 'retrofit']",Hybrid,Android Developer,Nexi Digital
Android Developer,"['java', 'kotlin']",Hybrid,Android Developer,Sanders & Creemers
Android Developer,"['kotlin', 'machine learning', 'visual design']",On-site,Android Developer,Loco
Android Developer,"['git', 'jenkins', 'jetpack compose', 'kotlin']",On-site,Android Developer,Weekday AI (YC W21)
Android Developer,"['a/b testing', 'android sdk', 'github', 'kotlin']",On-site,Android Developer,Athh Technologies LLP
Android Developer,"['c++', 'java', 'kotlin']",Remote,Android Developer,Randstad Digital
Android Developer,"['java', 'kotlin', 'restful apis']",On-site,Android Developer,Lokal
Android Developer,"['azure devops', 'git', 'jetpack compose', 'kotlin']",Hybrid,Android Developer,EUROWAG
Android Developer,"['android sdk', 'git', 'github', 'github actions', 'java', 'jenkins', 'kotlin', 'restful apis']",Hybrid,Android Developer,SILVARE
Android Developer,"['android sdk', 'git', 'invision', 'jetpack compose', 'kotlin', 'restful apis', 'retrofit']",Hybrid,Android Developer,inDrive
Android Developer,"['git', 'java', 'jetpack compose', 'kotlin', 'restful apis']",Hybrid,Android Developer,ExecutivePlacements.com
Android Developer,"['java', 'kotlin', 'mobile ui/ux', 'objective-c', 'swift']",Remote,Android Developer,Crossing Hurdles
Android Developer,"['android sdk', 'cryptography', 'git', 'java', 'jira', 'kotlin', 'restful apis', 'trello']",Remote,Android Developer,"Sherpa 6, Inc."
Android Developer,"['figma', 'git', 'jetpack compose', 'kotlin', 'scrum']",Hybrid,Android Developer,Adentis Portugal
Android Developer,['kotlin'],Hybrid,Android Developer,bunq
Android Developer,"['android sdk', 'functional programming', 'git', 'kotlin', 'restful apis']",Hybrid,Android Developer,Novibet
Android Developer,"['android sdk', 'java', 'kotlin']",On-site,Android Developer,Lokal
Android Developer,"['android sdk', 'git', 'java', 'kotlin', 'restful apis']",Remote,Android Developer,RemoteVA
Android Developer,"['babel', 'flutter', 'git', 'java', 'jetpack compose', 'jira', 'kanban', 'kotlin', 'react native', 'scrum']",Remote,Android Developer,Babel
Android Developer,"['android sdk', 'jetpack compose', 'kanban', 'kotlin', 'scrum']",Remote,Android Developer,Altkom Software
