keyword,job_title,company,location,work_type,salary,skills,job_url,description,n_skills_raw,skills_list,n_skills
Back End Developer,Back End Developer,Wipro Romania,"Bukares, Rumania (Gabungan)",Hybrid,,"Bash, Git, JUnit, Java, Jenkins, Kubernetes, RabbitMQ, SQL",https://www.linkedin.com/jobs/view/4417226326/,"Wipro Romania Back End Developer Bukares, Rumania · 3 jam yang lalu · 6 pelamar Dipromosikan oleh penyewa • Waktu peninjauan perusahaan biasanya 1 beberapa minggu Gabungan Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan 6 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Wipro Romania, part of global IT and consulting leader Wipro Ltd., has grown significantly since 2007. With over 2000 employees from 21+ nationalities, it supports 50+ clients, offering a collaborative, inclusive work environment and professional growth opportunities. On your first day, we will expect you to have: A creative approach towards solving technical problems fast, as part of an",8,"['bash', 'git', 'junit', 'java', 'jenkins', 'kubernetes', 'rabbitmq', 'sql']",8
Back End Developer,Back End Developer with verification,idpp,Italia (Jarak Jauh),Remote,,"Docker, Kubernetes, MongoDB, MySQL, PostgreSQL, Python, Redis, Reverse Engineering",https://www.linkedin.com/jobs/view/4412277956/,"idpp Back End Developer Italia · 1 minggu yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif Jarak Jauh Kontrak 0 dari 1 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan James Watson • Ke-3+ Senior Delivery Consultant at IDPP Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Senior Backend Engineer (Python) Location: Fully Remote (Italy) Rate: €250.00 per day Contract Duration: 6 Months Start Date: ASAP Travel: Up to 4 business trips per year Language Requirements: Italian: Native or Full Professional Profi",8,"['docker', 'kubernetes', 'mongodb', 'mysql', 'postgresql', 'python', 'redis', 'reverse engineering']",8
Back End Developer,Back End Developer,Datasent,"Area Metropolitan Austin, Texas (Gabungan)",Hybrid,,"Cryptography, Docker, Edge Computing, Foundation, MongoDB, NumPy, OpenCV, Pandas, PostgreSQL, Python, Rust, SQL, Scikit-Learn",https://www.linkedin.com/jobs/view/4087387688/,"Datasent Back End Developer Area Metropolitan Austin, Texas · 5 bulan yang lalu · Lebih dari 100 pelamar Dipromosikan oleh pembuka lowongan • Wawasan respons belum tersedia Gabungan Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Backend Developer (Junior–Mid Level) Location: Austin, TX or Remote (U.S.) Company: Datasent Type: Full-time About Datasent Datasent is building the infrastructure layer for a privacy-first data economy. We help companies train, analyze, and monetize data without moving or exposing raw data using edge computing, cryptographic verification, and de",13,"['cryptography', 'docker', 'edge computing', 'foundation', 'mongodb', 'numpy', 'opencv', 'pandas', 'postgresql', 'python', 'rust', 'sql', 'scikit-learn']",13
Back End Developer,Back End Developer,Prime Insights,Moldova (Jarak Jauh),Remote,,"Docker, Git, Kubernetes, Laravel, MongoDB, PHP, RESTful APIs, Redis, SQL",https://www.linkedin.com/jobs/view/4419880622/,"Prime Insights Back End Developer Moldova · 2 jam yang lalu · 21 pelamar Dipromosikan oleh penyewa • Waktu peninjauan perusahaan biasanya 1 beberapa minggu Jarak Jauh Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 21 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Ryan Aquino, CPA, MBA • Ke-3+ Partner, Prime Insights Advisors LLP Alumni sekolah dari UCLA Hubungkan Berkenalan dengan tim perekrutan Ana Iakashvili • Ke-3+ Tech Recruiter at PrimeInsights￼ | HRBP & Talent Acquisition | Global Hiring | People & Culture Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Vacancy: Backend Developer (Laravel) About Us: Prime",9,"['docker', 'git', 'kubernetes', 'laravel', 'mongodb', 'php', 'restful apis', 'redis', 'sql']",9
Back End Developer,Back End Developer,Supono Holdings LTD,"Warsawa, Mazowieckie, Polandia (Gabungan)",Hybrid,,"Docker, Figma, MongoDB, MySQL, Node.js, RESTful APIs",https://www.linkedin.com/jobs/view/4412937205/,"Supono Holdings LTD Back End Developer Warsawa, Mazowieckie, Polandia · 2 minggu yang lalu · 54 orang mengklik Lamar Dipromosikan oleh pembuka lowongan • Respons dikelola di luar LinkedIn Gabungan Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 54 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini We Offer: Above-market fixed salary High achievement, high reward Zero micromanagement Structured revenue-sharing participation Real ownership of architecture and delivery Direct financial alignment with company growth High-autonomy execution environment If you are underpaid relative to your ability → this role wil",6,"['docker', 'figma', 'mongodb', 'mysql', 'node.js', 'restful apis']",6
Back End Developer,Back End Developer,Hyalli,"London, Inggris, Britania Raya (Di Kantor)",On-site,,"C, C#, Entity Framework, Java, Node.js, Python, SQL",https://www.linkedin.com/jobs/view/4416446661/,"Hyalli Back End Developer London, Inggris, Britania Raya · 1 minggu yang lalu · 89 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif Di Kantor Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 89 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini About Hyalli Hyalli is a UK-based proptech platform reimagining how people find, verify, and move into rental properties. We are building the trust and identity layer for the rental market — combining verified profiles, intelligent matching, referencing, onboarding, and property management in one place. We are early-stage, fully funded, and moving fast. We are building some",7,"['c#', 'entity framework', 'java', 'node.js', 'python', 'sql']",6
Back End Developer,Back End Developer with verification,Insight Global,"Area London, Inggris (Gabungan)",Hybrid,,"AWS Lambda, Datadog, DynamoDB, Node.js, TypeScript",https://www.linkedin.com/jobs/view/4413546076/,"Insight Global Back End Developer Area London, Inggris · 2 minggu yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif Gabungan Kontrak 0 dari 5 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Charlie Santagata • Ke-3+ Senior Recruitment Consultant @ Insight Global | IT Staffing, Recruitment Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Insight Global is searching for a Sr. Backend Engineer to join the team of our largest entertainment streaming clients. This person will join the senior level team that w",5,"['aws lambda', 'datadog', 'dynamodb', 'node.js', 'typescript']",5
Back End Developer,Back End Developer III,TALENT Software Services,"Richfield, MN (Di Kantor)",On-site,,"Java, Kotlin, Kubernetes, MySQL, PostgreSQL, SQL, Spring Boot",https://www.linkedin.com/jobs/view/4416844596/,"TALENT Software Services Back End Developer III Richfield, MN · 21 jam yang lalu · 22 pelamar Belum ada wawasan respons yang tersedia 60 USD/hr - 70 USD/hr Di Kantor Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan 22 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Location: Local candidates preferred, onsite 1-2 days a week. Department Overview We are part of an organization focused on building and managing a platform used by sellers and internal teams to create, manage, and monitor advertising campaigns across a digital ecosystem. Our department specializes in retail media and advertising technology, including Sponsored Products and onsite display adv",7,"['java', 'kotlin', 'kubernetes', 'mysql', 'postgresql', 'sql', 'spring boot']",7
Back End Developer,Back End Developer with verification,Lorien,"Leeds, Inggris, Britania Raya (Gabungan)",Hybrid,,"Amazon Web Services (AWS), Docker, GraphQL, Java, Microservices Architecture, Python, RabbitMQ, SQL, Scala, TypeScript",https://www.linkedin.com/jobs/view/4411673106/,"Lorien Back End Developer Leeds, Inggris, Britania Raya · 2 minggu yang lalu · 87 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif Gabungan Kontrak 0 dari 4 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 87 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Kimberley Miller • Ke-3+ Delivery Lead at Lorien - Contact me on Kimberley.Miller@Lorienglobal.com for your recruitment needs Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Senior Backend Developer Leeds – 1 day onsite per week 6 Month Contract £600/day inside IR35 About the Role Our client is seeking a Senior Backend Developer to j",10,"['amazon web services (aws)', 'docker', 'graphql', 'java', 'microservices architecture', 'python', 'rabbitmq', 'sql', 'scala', 'typescript']",10
Back End Developer,Back End Developer – PHP | Remote,Crossing Hurdles,Britania Raya (Jarak Jauh),Remote,,"Laravel, MySQL, Node.js, PHP",https://www.linkedin.com/jobs/view/4415010745/,"Crossing Hurdles Back End Developer – PHP | Remote Britania Raya · 1 minggu yang lalu · Lebih dari 100 pelamar Dipromosikan oleh pembuka lowongan • Wawasan respons belum tersedia 30 USD/hr - 110 USD/hr Jarak Jauh Kontrak 0 dari 3 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Sankalp Chhabra • Ke-3+ Founder | Recruitment Consultant | Helping Companies Hire Better | Ex-Career Coach | Ex-Snapdeal, HP, NITI Aayog, Gartner, CBSE Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Position: Back End Developer PHP Type: Contract Compensation: $30 - $110/h",4,"['laravel', 'mysql', 'node.js', 'php']",4
Back End Developer,Back End Developer,NearTech Search,"Area London, Inggris (Di Kantor)",On-site,,"MongoDB, Node.js, TypeScript",https://www.linkedin.com/jobs/view/4407258479/,"NearTech Search Back End Developer Area London, Inggris · 3 minggu yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif 55K GBP/yr - 65K GBP/yr Di Kantor Penuh waktu 0 dari 7 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Backend Engineer, London, £55,000 - £65,000 + Benefits (including share options) A Backend Software Engineer ( Typescript, Node.js ) is needed to join an ambitious and fast-scaling technology company operating within a regulated market. This role is based in central London 4 days a week on-site. As their product suite evolves and cust",3,"['mongodb', 'node.js', 'typescript']",3
Back End Developer,Back End Developer with verification,Whish Money,"Beirut, Kegubernuran Beirut, Lebanon (Di Kantor)",On-site,,"Git, Java, MySQL, RESTful APIs, Spring Boot",https://www.linkedin.com/jobs/view/4385457489/,"Whish Money Back End Developer Beirut, Kegubernuran Beirut, Lebanon · 2 bulan yang lalu · Lebih dari 100 pelamar Dipromosikan oleh penyewa • Waktu peninjauan perusahaan biasanya 1 beberapa minggu Di Kantor Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Location : Beirut, Lebanon (onsite) Relocation : Available Experience : Minimum 5 years Key Responsibilities : Design, develop, and maintain backend services using Java (Spring Boot). Work with MySQL to design and optimise database queries and structures. Collaborate with frontend developers, product managers, and other st",5,"['git', 'java', 'mysql', 'restful apis', 'spring boot']",5
Back End Developer,Back End Developer,Mentor Talent Acquisition,"Area London, Inggris (Di Kantor)",On-site,,"PostgreSQL, Python, Snowflake, TypeScript",https://www.linkedin.com/jobs/view/4382585624/,"Mentor Talent Acquisition Back End Developer Area London, Inggris · Dibagikan 1 hari yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif Di Kantor Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Gjurgjica Mitevska • Ke-3+ Scaling AI/ML teams fast | Specialist Recruiter for startups & scaleups Pemasang posting pekerjaan Pesan Tentang pekerjaan ini London (Farringdon) We’re building LLM-powered workflow tools to support investment research for private market investors, used by leading private equity and consulting fi",4,"['postgresql', 'python', 'snowflake', 'typescript']",4
Back End Developer,Back-end Developer (Node&Express.js),InnoTech,Area Metropolitan Porto (Gabungan),Hybrid,,"Express.js, MongoDB, Node.js, RESTful APIs, SQL, Scrum",https://www.linkedin.com/jobs/view/4391741607/,"InnoTech Back-end Developer (Node&Express.js) Area Metropolitan Porto · Dibagikan 1 hari yang lalu · 65 pelamar Dipromosikan oleh penyewa • Waktu peninjauan perusahaan biasanya 1 beberapa minggu Gabungan Penuh waktu 0 dari 1 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 65 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini A Company you will be happy to grow with! At InnoTech, it’s all about connecting people with business through technology. We truly care about you, your happiness , and your well-being . We look for passionate people who are eager to learn , evolve , and grow with us - because growth is in our DNA. This commitment has been consisten",6,"['express.js', 'mongodb', 'node.js', 'restful apis', 'sql', 'scrum']",6
Back End Developer,Back-End Developer (100% Remoto),ROVI Pharmaceutical Company,Spanyol (Jarak Jauh),Remote,,"C, C++, FastAPI, GitHub, GitHub Actions, Jenkins, Kubernetes, PostgreSQL, PyTest, Python, RabbitMQ",https://www.linkedin.com/jobs/view/4328110995/,"ROVI Pharmaceutical Company Back-End Developer (100% Remoto) Spanyol · Dibagikan 2 minggu yang lalu · Lebih dari 100 orang mengklik Lamar Dipromosikan oleh pembuka lowongan • Respons dikelola di luar LinkedIn Jarak Jauh Penuh waktu 0 dari 8 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan lebih dari 100 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Claudia D. • Ke-3+ HR International Specialist @ROVI | People & Culture | Strategic Growth | Psychologist Pemasang posting pekerjaan Pesan Tentang pekerjaan ini 👨 💻 Sobre CellsIA En CellsIA desarrollamos soluciones de inteligencia artificial",11,"['c++', 'fastapi', 'github', 'github actions', 'jenkins', 'kubernetes', 'postgresql', 'pytest', 'python', 'rabbitmq']",10
Back End Developer,Back End Developer,Wipro Romania,"Bukares, Rumania (Gabungan)",Hybrid,,"Bash, Git, Google Cloud Platform (GCP), JUnit, Java, Jenkins, Kubernetes, RabbitMQ, SQL",https://www.linkedin.com/jobs/view/4415244287/,"Wipro Romania Back End Developer Bukares, Rumania · 1 hari yang lalu · 29 pelamar Dipromosikan oleh penyewa • Waktu peninjauan perusahaan biasanya 1 beberapa minggu Gabungan Penuh waktu 0 dari 5 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 29 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini On your first day, we will expect you to have: A creative approach towards solving technical problems fast, as part of an L3 Rota: intra-day and on-call; Desire and ability to learn, debug and investigate across complex system landscape; Strong analytical skills; Demonstrable SW Development experience; In-depth understanding of SDLC; Ability to work with modern",9,"['bash', 'git', 'google cloud platform (gcp)', 'junit', 'java', 'jenkins', 'kubernetes', 'rabbitmq', 'sql']",9
